"filename", "language", "TypeScript", "JSON", "Markdown", "JavaScript", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Faraz\Desktop\FYP\development\client\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\Faraz\Desktop\FYP\development\client\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Faraz\Desktop\FYP\development\client\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\Faraz\Desktop\FYP\development\client\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 0, 3, 102
"c:\Users\Faraz\Desktop\FYP\development\client\app\signin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 2, 1, 33
"c:\Users\Faraz\Desktop\FYP\development\client\components\shared\auth-layout\auth-wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 37
"c:\Users\Faraz\Desktop\FYP\development\client\components\shared\form\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Faraz\Desktop\FYP\development\client\next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\Faraz\Desktop\FYP\development\client\package-lock.json", "JSON", 0, 2716, 0, 0, 0, 0, 0, 0, 0, 1, 2717
"c:\Users\Faraz\Desktop\FYP\development\client\package.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Faraz\Desktop\FYP\development\client\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Faraz\Desktop\FYP\development\client\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Faraz\Desktop\FYP\development\client\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Faraz\Desktop\FYP\development\client\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Faraz\Desktop\FYP\development\client\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Faraz\Desktop\FYP\development\client\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Faraz\Desktop\FYP\development\client\tailwind.config.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Faraz\Desktop\FYP\development\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\Faraz\Desktop\FYP\development\client\validators\zod-schemas.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"Total", "-", 29, 2746, 23, 6, 27, 205, 3, 5, 4, 40, 3088